gbifID,scientificName,decimalLatitude,decimalLongitude,elevation,depth,present
4149347364,Ciona intestinalis (Linnaeus; 1767),48.32556,-4.39306,,8.0,1
4149345189,Ciona intestinalis (Linnaeus; 1767),47.66122,-3.21095,,17.0,1
4149342954,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,8.7,1
4149342558,Ciona intestinalis (Linnaeus; 1767),47.6714,-3.2083,,17.0,1
4149330118,Ciona intestinalis (Linnaeus; 1767),47.5687,-2.91411,,21.0,1
4149325021,Ciona intestinalis (Linnaeus; 1767),48.6278,-2.02725,,16.2,1
4149322350,Ciona intestinalis (Linnaeus; 1767),47.5687,-2.91411,,20.0,1
4149316106,Ciona intestinalis (Linnaeus; 1767),43.425,3.69986,,7.0,1
4149307125,Ciona intestinalis (Linnaeus; 1767),43.17693,5.37009,,22.0,1
4149306918,Ciona intestinalis (Linnaeus; 1767),48.59619,-2.01798,,9.2,1
4149304323,Ciona intestinalis (Linnaeus; 1767),48.68,-2.071,,20.0,1
4149301434,Ciona intestinalis (Linnaeus; 1767),47.66122,-3.21095,,18.0,1
4149301146,Ciona intestinalis (Linnaeus; 1767),48.29833,-4.575,,17.0,1
4149298082,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,7.0,1
4148254476,Ciona intestinalis (Linnaeus; 1767),36.654961,-4.363094,,50.0,1
4147913645,Ciona intestinalis (Linnaeus; 1767),51.08888,1.941325,,30.1,1
4147912503,Ciona intestinalis (Linnaeus; 1767),51.274255,1.72503,,43.3,1
4147912074,Ciona intestinalis (Linnaeus; 1767),50.511665,0.596667,,42.0,1
4147911276,Ciona intestinalis (Linnaeus; 1767),50.667365,1.035595,,43.4,1
4147910130,Ciona intestinalis (Linnaeus; 1767),49.63995,0.0792,,31.0,1
4147909187,Ciona intestinalis (Linnaeus; 1767),49.58345,-0.9448,,15.0,1
4147909009,Ciona intestinalis (Linnaeus; 1767),49.4571,-0.63205,,29.0,1
4147909005,Ciona intestinalis (Linnaeus; 1767),49.83877,-0.2598,,40.8,1
4147895556,Ciona intestinalis (Linnaeus; 1767),50.016666,1.084333,,25.0,1
4147894831,Ciona intestinalis (Linnaeus; 1767),50.089333,0.323667,,41.0,1
4147894690,Ciona intestinalis (Linnaeus; 1767),50.104,0.541333,,37.0,1
4147894630,Ciona intestinalis (Linnaeus; 1767),50.140335,0.901,,29.0,1
4147893998,Ciona intestinalis (Linnaeus; 1767),50.190334,1.169667,,29.0,1
4147893703,Ciona intestinalis (Linnaeus; 1767),50.384335,0.802,,40.0,1
4147890253,Ciona intestinalis (Linnaeus; 1767),49.983334,-1.451667,,72.0,1
4147885248,Ciona intestinalis (Linnaeus; 1767),55.1463,6.52835,,44.0,1
4147882323,Ciona intestinalis (Linnaeus; 1767),49.848331,0.218333,,32.0,1
4147882209,Ciona intestinalis (Linnaeus; 1767),49.978333,0.77,,25.0,1
4147882193,Ciona intestinalis (Linnaeus; 1767),49.904999,0.58,,27.0,1
4147882161,Ciona intestinalis (Linnaeus; 1767),49.876667,0.421667,,30.0,1
4140596443,Ciona intestinalis (Linnaeus; 1767),55.00631,-5.73389,,80.0,1
4140596379,Ciona intestinalis (Linnaeus; 1767),55.22415,-6.661025,,36.0,1
4140596185,Ciona intestinalis (Linnaeus; 1767),55.006216,-5.734054,,80.0,1
4140596027,Ciona intestinalis (Linnaeus; 1767),55.005952,-5.734002,,80.0,1
4140595741,Ciona intestinalis (Linnaeus; 1767),54.919247,-5.715491,,105.0,1
4140595545,Ciona intestinalis (Linnaeus; 1767),55.226408,-6.6519,,36.0,1
4140595541,Ciona intestinalis (Linnaeus; 1767),54.959667,-5.796792,,66.0,1
4140595382,Ciona intestinalis (Linnaeus; 1767),54.9579,-5.796592,,66.0,1
4140585234,Ciona intestinalis (Linnaeus; 1767),54.146917,-0.071533,,39.8,1
4140585194,Ciona intestinalis (Linnaeus; 1767),54.145483,-0.1494,,14.0,1
4140585174,Ciona intestinalis (Linnaeus; 1767),54.111683,-0.023967,,48.5,1
4140584996,Ciona intestinalis (Linnaeus; 1767),54.06995,-0.1624,,9.5,1
4140584935,Ciona intestinalis (Linnaeus; 1767),54.096417,-0.093083,,16.5,1
4140584934,Ciona intestinalis (Linnaeus; 1767),54.136367,-0.084367,,24.0,1
4140584882,Ciona intestinalis (Linnaeus; 1767),54.1584,-0.026917,,49.9,1
4140584773,Ciona intestinalis (Linnaeus; 1767),54.078,-0.042067,,29.0,1
4140584745,Ciona intestinalis (Linnaeus; 1767),54.143467,-0.14565,,12.0,1
4140584721,Ciona intestinalis (Linnaeus; 1767),54.0972,-0.15,,6.1,1
4140584670,Ciona intestinalis (Linnaeus; 1767),54.136367,-0.084367,,24.0,1
4140584639,Ciona intestinalis (Linnaeus; 1767),54.080033,-0.052583,,25.8,1
4140584573,Ciona intestinalis (Linnaeus; 1767),54.129367,-0.0083,,48.8,1
4140584530,Ciona intestinalis (Linnaeus; 1767),54.120617,-0.071983,,20.8,1
4140584512,Ciona intestinalis (Linnaeus; 1767),54.126983,-0.002283,,49.0,1
4140584405,Ciona intestinalis (Linnaeus; 1767),54.072183,-0.04925,,28.0,1
4140584389,Ciona intestinalis (Linnaeus; 1767),54.098017,-0.145483,,6.9,1
4140584301,Ciona intestinalis (Linnaeus; 1767),54.086517,-0.054,,25.0,1
4140581289,Ciona intestinalis (Linnaeus; 1767),54.086517,-0.054,,25.0,1
4140581058,Ciona intestinalis (Linnaeus; 1767),54.080033,-0.052583,,25.8,1
4140581025,Ciona intestinalis (Linnaeus; 1767),54.111683,-0.023967,,48.5,1
4140581000,Ciona intestinalis (Linnaeus; 1767),54.096533,-0.098833,,15.9,1
4140580953,Ciona intestinalis (Linnaeus; 1767),54.08405,-0.051483,,26.5,1
4140580853,Ciona intestinalis (Linnaeus; 1767),54.1322,-0.0019,,49.5,1
4140580763,Ciona intestinalis (Linnaeus; 1767),54.098017,-0.145483,,6.9,1
4140580637,Ciona intestinalis (Linnaeus; 1767),54.076633,-0.162683,,9.1,1
4140580611,Ciona intestinalis (Linnaeus; 1767),54.117783,-0.031383,,50.0,1
4140580606,Ciona intestinalis (Linnaeus; 1767),54.114933,-0.033817,,38.0,1
4140580561,Ciona intestinalis (Linnaeus; 1767),54.0972,-0.15,,6.1,1
4140580453,Ciona intestinalis (Linnaeus; 1767),54.146933,-0.028633,,48.0,1
4140580413,Ciona intestinalis (Linnaeus; 1767),54.136717,-0.09055,,24.0,1
4140580348,Ciona intestinalis (Linnaeus; 1767),54.077133,-0.177183,,9.0,1
4140576298,Ciona intestinalis (Linnaeus; 1767),54.074917,-0.07235,,24.0,1
4140576249,Ciona intestinalis (Linnaeus; 1767),54.078,-0.042067,,29.0,1
4140576176,Ciona intestinalis (Linnaeus; 1767),54.096533,-0.098833,,15.9,1
4140576151,Ciona intestinalis (Linnaeus; 1767),54.146767,-0.056133,,43.4,1
4140576107,Ciona intestinalis (Linnaeus; 1767),54.1322,-0.0019,,49.5,1
4140576089,Ciona intestinalis (Linnaeus; 1767),54.145483,-0.1494,,14.0,1
4140576000,Ciona intestinalis (Linnaeus; 1767),54.143467,-0.14565,,12.0,1
4140575945,Ciona intestinalis (Linnaeus; 1767),54.098017,-0.145483,,6.9,1
